example_name,estimate_name,SpearmanR_all,SpearmanR_test,pick_auc_test,pick_KL_div_test,training_lists,test_lists,data_size,test_size,extra_info,score_name,p_continue,generative_noise_scale,scoring_noise_scale,run_i,rand_seed
uci wine example,"logistic differences, early stop=F",0.1924955991185179,0.1906060310749755,0.701524,0.438851357751818,100,2000,6497,6015,,quality,0.8,0.87,2.0,18,566571108
uci wine example,logistic items,0.1754264073755069,0.1737764663576942,0.7070591875,0.4237509590638966,100,2000,6497,6015,,quality,0.8,0.87,2.0,18,566571108
uci wine example,observed score,0.5224250874839659,0.5201984378333311,0.7341568749999999,0.4008836204934329,100,2000,6497,6015,,quality,0.8,0.87,2.0,18,566571108
uci wine example,Stan inspection model,0.3666534778378485,0.3665949542022539,0.6885311875000001,0.9845763713713775,100,2000,6497,6014,"{""est_p_continue"": 0.7978236375000001}",quality,0.8,0.87,2.0,19,364254565
uci wine example,Stan list utility model,0.371917849713238,0.3726355409455316,0.6943498125,0.8726870329181127,100,2000,6497,6014,,quality,0.8,0.87,2.0,19,364254565
uci wine example,Stan difference utility model,0.3603535084319527,0.3606276117022098,0.6886631875,0.9806650859898468,100,2000,6497,6014,,quality,0.8,0.87,2.0,19,364254565
uci wine example,"logistic differences, early stop=T",0.163518279569785,0.1572979334341004,0.70720125,0.4150685386362435,100,2000,6497,6014,,quality,0.8,0.87,2.0,19,364254565
uci wine example,"logistic differences, early stop=F",0.3676993789960863,0.3682271813895617,0.7252842187499999,0.4063104546557631,100,2000,6497,6014,,quality,0.8,0.87,2.0,19,364254565
uci wine example,logistic items,0.3754491789674801,0.376437945255066,0.7218410000000002,0.409709655352762,100,2000,6497,6014,,quality,0.8,0.87,2.0,19,364254565
uci wine example,observed score,0.5167042433242749,0.5150233978019884,0.7279741249999999,0.4069880389068678,100,2000,6497,6014,,quality,0.8,0.87,2.0,19,364254565
