"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/03/03","07:24","5.219","-","5.46"
"2018/03/03","07:30","5.295","-","5.61"
"2018/03/03","07:36","5.365","-","5.51"
"2018/03/03","07:42","5.429","-","5.59"
"2018/03/03","07:48","5.486","-","5.71"
"2018/03/03","07:54","5.536","-","5.73"
"2018/03/03","08:00","5.58","-","5.78"
"2018/03/03","08:06","5.616","-","5.77"
"2018/03/03","08:12","5.645","-","5.88"
"2018/03/03","08:18","5.666","-","5.92"
"2018/03/03","08:24","5.68","-","5.97"
"2018/03/03","08:30","5.685","-","5.84"
"2018/03/03","08:36","5.683","-","5.86"
"2018/03/03","08:42","5.674","-","5.91"
"2018/03/03","08:48","5.656","-","5.98"
"2018/03/03","08:54","5.631","-","5.91"
"2018/03/03","09:00","5.598","-","5.88"
"2018/03/03","09:06","5.557","-","5.92"
"2018/03/03","09:12","5.509","-","5.75"
"2018/03/03","09:18","5.453","-","5.67"
"2018/03/03","09:24","5.39","-","5.71"
"2018/03/03","09:30","5.32","-","5.6"
"2018/03/03","09:36","5.244","-","5.56"
"2018/03/03","09:42","5.161","-","5.45"
"2018/03/03","09:48","5.071","-","5.33"
"2018/03/03","09:54","4.976","-","5.16"
"2018/03/03","10:00","4.876","-","5.17"
"2018/03/03","10:06","4.769","-","5.08"
"2018/03/03","10:12","4.659","-","4.89"
"2018/03/03","10:18","4.543","-","4.84"
"2018/03/03","10:24","4.423","-","4.8"
"2018/03/03","10:30","4.3","-","4.61"
"2018/03/03","10:36","4.174","-","4.53"
"2018/03/03","10:42","4.044","-","4.38"
"2018/03/03","10:48","3.913","-","4.19"
"2018/03/03","10:54","3.779","-","4"
"2018/03/03","11:00","3.644","-","3.88"
"2018/03/03","11:06","3.508","-","3.73"
"2018/03/03","11:12","3.372","-","3.63"
